P1,P2,P3
FNS,CRT,INS
CRT,CRT,CRT
FNS,CRT,FNS
DIR,DIR,CRT
INS,INS,FNS
FNS,CRT,FNS
CRT,CRT,CRT
CRT,CRT,CRT
LOC,INS,INS
DIR,DIR,DIR
INS,FNS,FNS
EFF,CRT,CRT
FNS,FNS,FNS
INS,INS,FNS
DIR,DIR,LOC
FNS,FNS,FNS
INS,INS,FNS
LOC,LOC,LOC
INS,INS,INS
CRT,CRT,CRT
DIR,DIR,LOC
DIR,DIR,LOC
CRT,FNS,CRT
DIR,DIR,DIR
CRT,CRT,CRT
CRT,CRT,CRT
CRT,CRT,CRT
CRT,INS,FNS
FNS,CRT,FNS
CRT,CRT,CRT
FNS,FNS,CRT
DIR,DIR,DIR
CRT,CRT,CRT
FNS,CRT,FNS
FNS,CRT,FNS
DIR,DIR,DIR
INS,CRT,LOC
INS,INS,FNS
CRT,CRT,FNS
FNS,FNS,INS
DIR,DIR,LOC
CRT,CRT,FNS
DIR,CRT,FNS
FNS,CRT,FNS
INS,INS,FNS
DIR,DIR,LOC
INS,INS,INS
CRT,CRT,CRT
CRT,FNS,CRT
CRT,FNS,FNS
INS,INS,FNS
CRT,CRT,FNS
CRT,CRT,EFF
INS,INS,LOC
FNS,CRT,FNS
CRT,CRT,FNS
DIR,DIR,LOC
CRT,FNS,FNS
FNS,FNS,FNS
DIR,DIR,FNS
FNS,FNS,FNS
CRT,CRT,CRT
INS,INS,FNS
CRT,CRT,CRT
INS,INS,INS
FNS,INS,FNS
CRT,CRT,FNS
INS,INS,INS
FNS,CRT,FNS
INS,INS,INS
CRT,CRT,FNS
CRT,CRT,DIR
INS,INS,INS
CRT,CRT,FNS
INS,INS,INS
FNS,FNS,FNS
FNS,CRT,FNS
CRT,CRT,CRT
FNS,FNS,FNS
INS,INS,FNS
CRT,INS,INS
DIR,DIR,LOC
FNS,FNS,FNS
FNS,FNS,CRT
FNS,INS,FNS
CRT,CRT,FNS
CRT,CRT,CRT
DIR,DIR,LOC
FNS,FNS,FNS
FNS,INS,EFF
CRT,CRT,CRT
EFF,INS,FNS
INS,INS,INS
DIR,DIR,DIR
FNS,CRT,FNS
CRT,FNS,CRT
FNS,INS,FNS
FNS,FNS,FNS
DIR,DIR,LOC
CRT,FNS,FNS
CRT,CRT,DIR
CRT,CRT,DIR
CRT,CRT,FNS
FNS,FNS,FNS
INS,INS,FNS
FNS,INS,FNS
CRT,FNS,CRT
FNS,INS,FNS
INS,INS,INS
CRT,CRT,CRT
CRT,CRT,CRT
LOC,INS,LOC
DIR,DIR,LOC
INS,INS,INS
CRT,CRT,INS
DIR,DIR,DIR
CRT,CRT,CRT
LOC,LOC,LOC
INS,INS,FNS
CRT,CRT,FNS
CRT,CRT,FNS
CRT,CRT,FNS
INS,INS,INS
CRT,CRT,CRT
FNS,FNS,FNS
FNS,INS,FNS
CRT,CRT,CRT
FNS,INS,FNS
FNS,CRT,FNS
DIR,DIR,FNS
CRT,FNS,FNS
INS,CRT,INS
FNS,FNS,FNS
INS,INS,INS
FNS,FNS,FNS
LOC,LOC,LOC
FNS,FNS,CRT
FNS,CRT,FNS
